Company_Name,Company-Status,year of founding,Age of company in years,Internet Activity Score,Short-Description,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of top angel or venture fund,Number of repeat investors,Number of Sales Support material,Worked in top companies,Ave size of companies worked,Part of startups in the past,Part of successful startups in the past,Partner in Big 5 consulting,Consulting experience?,Product or service company?,Catering to product/service,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,Capital intensive business,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics,Owns monetization of data,Company an aggregator/market place,Online or offline venture,B2C or B2B venture?,Top forums for company/Model,Ave Years of experience for founder/co-founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Number of Recognitions for founders/co-founders,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Long term relationship with other founders,Proprietary or patent position,Barriers of entry for the competitors,Company awards,Controversial history of founder/co-founder,Legal risk and intellectual property,google page rank of company website,Technical proficiencies to analyse,Solutions offered,Global incubation competitions,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Survival through recession,Time to 1st investment (in months),Avg time to investment,Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company1,Success,2010.0,4.0,1.0,Video distribution,Analytics,operation,KPCB Holdings|Draper Fisher Jurvetson (DFJ)|Kleiner Perkins Caufield & Byers|AT&T|Blueprint Ventures|Cisco|Zone Ventures,3.0,0.0,No,1/1/2011,5/26/2013,450000.0,United States,North America,2.0,0.0,1,2,2,15.0,Yes,4.0,Nothing,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Global,Linear,Yes,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,High,High,Yes,Low,Masters,21.0,business,Yes,Yes,500.0,Medium,0.0,0.0,0.0,0.0,0.0,Low,Low,Yes,No,High,No,No,Yes,No,No,No,9626884.0,No,Yes,No,2.0,Low,0.0,1.5,0.4,Not Applicable,12.0,11.6,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company3,Success,2011.0,3.0,455.0,Event Data Analytics API,Analytics|Cloud Computing|Software Development,operations,TechStars|Streamlined Ventures|Amplify Partners|Rincon Venture Partners|Pelion Venture Partners|500 Startups|Loren Siebert|Jason Seats|XG Ventures|George Karidis|Sam Choi|Morris Wheeler|Data Collective|Pejman Nozad|Ullas Naik|Dirk Elmendorf|Galvanize|Pat Matthews|Paul Kedrosky|Matt Ocko|Cloud Power Capital|Jared Kopf|Anne Johnson|Issac Roth|George Karutz|Jim Deters|Zachary Aarons|Zack Bogue,14.0,0.0,No,12/1/2011,10/23/2013,2350000.0,United States,North America,15.0,0.0,3,0,7,10.0,No,0.0,low,Yes,Medium,No,No,No,No,Both,Yes,Private,Yes,Both,Yes,Cloud,Local,Non-Linear,No,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18.0,General,Yes,Yes,500.0,High,0.0,0.0,1.0,18.0,36.0,High,Medium,Yes,No,Low,Yes,Yes,Yes,No,No,No,71391.0,Yes,Yes,Yes,3.0,Medium,0.0,3.3,2.4,Not Applicable,2.0,7.3,Trough,2 to 5,9.4,0.0,57.5,0.0,0.0,3.8,17.1,9.4,0.0,2.8,0.0,0.0,0.0,0.0,9.0
Company4,Success,2009.0,5.0,99.0,The most advanced analytics for mobile,Mobile|Analytics,Marketing & Sales,Michael Birch|Max Levchin|Sequoia Capital|Keith Rabois|Andreessen Horowitz|Marc Benioff|David Sacks|Y Combinator|Voyager Capital,45.0,10.0,No,6/20/2009,5/10/2012,10250000.0,United States,North America,6.0,0.0,2,0,4,50.0,Yes,0.0,low,No,Large,Yes,Yes,No,No,Product,Yes,Public,Yes,Structured,Yes,Platform,Local,Non-Linear,No,Yes,No,No,No,No,No,No,No,No,No,Online,B2C,Medium,Medium,Yes,Low,Bachelors,18.0,Computer Systems Engineering,Yes,Yes,500.0,Low,0.0,0.0,0.0,2.0,15.5,Medium,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,11847.0,No,Yes,Yes,4.0,Medium,2.0,10.0,10.2,Not Applicable,1.0,8.7,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Company5,Success,2010.0,4.0,496.0,The Location-Based Marketing Platform,Analytics|Marketing|Enterprise Software,Marketing & Sales,DFJ Frontier|Draper Nexus Ventures|Gil Elbaz|Auren Hoffman|Walter Kortschak|MI Ventures|Brand Ventures|Daher Capital|Double M Partners|Gold Hill Capital|Clark Landry|Draper Associates|MI Ventures LLC|Signia Venture Partners,39.0,3.0,No,4/1/2010,12/11/2013,5500000.0,United States,North America,7.0,0.0,1,1,8,40.0,No,0.0,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18.0,Industrial Engineering and Computer Science,Yes,Yes,500.0,High,0.0,0.0,0.0,5.0,23.0,Medium,Medium,Yes,No,Low,Yes,Yes,Yes,No,No,No,201814.0,Yes,Yes,No,3.0,Medium,0.0,10.0,5.5,Not Applicable,13.0,9.8,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Company6,Success,2010.0,4.0,106.0,big data for foodservice,Food & Beverages|Hospitality,analytics,Pritzker Group Venture Capital|Excelerate Labs|Hyde Park Venture Partners|Chicago Ventures|Amicus Capital|IDEO|Olive Ventures|KD Capital L.L.C,14.0,8.0,No,5/1/2010,9/17/2013,1000000.0,United States,North America,2.0,0.0,4,0,4,14.0,No,2.0,medium,No,Medium,No,No,No,No,Service,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Low,High,Yes,Medium,Masters,21.0,Political Science,No,No,500.0,Low,0.0,0.0,0.0,5.0,25.0,Medium,Medium,Yes,No,Low,No,Yes,No,Yes,No,No,591816.0,Yes,Yes,Yes,4.0,High,0.0,3.5,1.0,Not Applicable,12.0,9.3,Trigger,2 to 5,6.2,0.0,3.1,15.6,9.4,3.1,6.2,3.1,3.1,0.0,0.0,0.0,0.0,0.0,6.0
Company7,Success,2011.0,3.0,39.0,Big Data Analytics,Analytics,Research,Plug & Play Ventures|Correlation Ventures|Crosslink Capital|Roham Gharegozlou|Start Capital|Naguib Sawiris|Pejman Nozad|Streamlined Ventures,7.0,0.0,No,1/1/2011,9/3/2013,2000000.0,United States,North America,7.0,0.0,2,9,2,15.0,No,4.0,medium,No,Small,Yes,Yes,No,No,Both,Yes,Public,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25.0,Electrical Eng,Yes,Yes,500.0,Low,0.0,0.0,0.0,1.0,21.0,Medium,Medium,Yes,No,Medium,No,No,Yes,No,No,Yes,2345574.0,Yes,Yes,No,3.0,Medium,0.0,5.0,2.0,Not Applicable,11.0,7.3,Trigger,2 to 5,0.0,0.0,66.7,5.6,0.0,22.2,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0
Company8,Success,2010.0,4.0,139.0,Big Data Analytics,Cloud Computing|Network / Hosting / Infrastructure,Computing,Norwest Venture Partners|Bessemer Venture Partners|Atlas Venture,29.0,-12.0,No,1/1/2010,11/8/2012,6700000.0,United States,North America,0.0,0.0,3,4,4,40.0,No,0.0,medium,No,Large,Yes,Yes,No,No,Both,Yes,Private,No,Both,No,Platform,Local,Non-Linear,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Business management,Yes,Yes,500.0,Medium,0.0,0.0,0.0,5.0,4.5,Medium,Medium,Yes,No,Low,No,No,Yes,No,No,No,1015027.0,Yes,Yes,No,3.0,Medium,0.0,10.0,6.7,Not Applicable,20.0,6.4,Slope,2 to 5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Company9,Success,2011.0,3.0,306.0,Engagement Engine,Analytics|Mobile|Marketing,Marketing,Promus Ventures|SoftTech VC|Costanoa Venture Capital|Lee Linden|Chamath Palihapitiya|Raj De Datta|Tim Kendall|Omar Siddiqui|David Vivero|Sequoia Capital,16.0,45.0,No,1/1/2011,2/26/2014,11000000.0,United States,North America,13.0,0.0,2,0,2,50.0,No,0.0,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,High,Yes,High,Masters,21.0,Business management,Yes,Yes,500.0,High,0.0,0.0,0.0,13.0,48.0,Low,Medium,No,No,Low,No,Yes,No,No,No,No,256921.0,Yes,Yes,No,3.0,Medium,0.0,16.7,11.0,Not Applicable,18.0,12.0,Trough,2 to 5,8.3,0.0,46.7,5.7,8.3,0.0,19.8,2.8,2.8,0.0,0.0,0.0,0.0,5.6,5.0
Company10,Success,2013.0,1.0,53.0,Big data for clinical insight,Healthcare|Pharmaceuticals|Analytics,Research,Khosla Ventures,3.0,0.0,No,5/16/2013,10/24/2013,3000000.0,United States,North America,0.0,0.0,3,4,3,3.0,No,0.0,Nothing,Yes,Medium,Yes,Yes,No,No,Product,No,Public,Yes,Structured,No,Platform,Global,Non-Linear,No,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,PhD,25.0,Biomedical Informatics,Yes,Yes,500.0,High,0.0,0.0,0.0,1.0,25.5,Medium,High,Yes,No,Medium,Yes,No,Yes,No,No,Yes,3639779.0,No,Yes,No,1.0,Low,0.0,3.0,3.0,Not Applicable,5.0,5.0,Peak,5 to 10,8.3,0.0,27.1,19.8,0.0,24.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,4.0
Company11,Success,2011.0,3.0,762.0,Business Analytics,Analytics|Enterprise Software,"Sales, marketing",Redpoint Ventures|First Round Capital|PivotNorth Capital,34.0,0.0,No,1/1/2011,8/13/2013,16000000.0,United States,North America,0.0,0.0,2,1,8,50.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,No,Platform,Global,Non-Linear,No,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,High,Bachelors,18.0,Geology,No,Yes,500.0,High,0.0,0.0,1.0,4.0,14.5,High,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,142907.0,Yes,Yes,No,4.0,Medium,4.0,25.0,16.0,Not Applicable,24.0,2.7,Trough,2 to 5,3.8,0.0,26.9,0.0,3.8,3.8,7.7,0.0,3.8,0.0,0.0,0.0,0.0,0.0,6.0
