Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Employee Count,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Relevance of education to venture,Relevance of experience to venture,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Number of Recognitions for Founders and Co-founders,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Time to maturity of technology (in years),Renown score
1,2009,4,1,3,0,1/1/2011,5/26/2013,450000,United States,North America,2,0,1,2,2,15,1,4,Low,0,0,0,0,0,0,Service,0,Private,0,Both,1,Platform,1,Linear,1,0,0,0,0,0,0,0,0,0,1,Online,B2C,2,2,1,0,Masters,21,1,1,500,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,9626884,0,1,0,2,0,0,1.5,0.45,14,11.6,1,0
1,2011,3,125,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,5,0,2,0,4,20,0,0,Medium,1,2,1,1,0,0,Product,0,Public,1,Both,0,Platform,0,Non-Linear,0,1,0,1,1,0,0,1,1,1,0,Online,B2C,0,2,1,2,Masters,21,1,1,500,2,0,0,0,13,34,2,1,1,0,0,0,1,1,0,0,1,1067034,1,1,0,3,1,0,6.7,5,10,9,1,8
1,2011,3,455,14,0,12/1/2011,10/23/2013,2350000,United States,North America,15,0,3,0,7,10,0,0,Low,1,1,0,0,0,0,Both,1,Private,1,Both,1,Cloud,0,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2B,0,1,1,0,Bachelors,18,1,1,500,2,0,0,1,18,36,2,1,1,0,0,1,1,1,0,0,0,71391,1,1,1,3,1,0,3.3,2.35,2,7.3,1,9
1,2009,5,99,45,0,6/20/2009,5/10/2012,10250000,United States,North America,6,0,2,0,4,50,1,0,Low,0,2,1,1,0,0,Product,1,Public,1,Structured,1,Platform,0,Non-Linear,0,1,0,0,0,0,0,0,0,0,0,Online,B2C,1,1,1,0,Bachelors,18,1,1,469,0,0,0,0,2,15.5,1,1,1,0,0,0,1,1,0,0,0,11847,0,1,1,4,1,2,10,10.25,1,8.7,1,5
1,2010,4,496,39,0,4/1/2010,12/11/2013,5500000,United States,North America,7,0,1,1,8,40,0,0,High,0,0,0,0,0,0,Product,1,Public,1,Both,0,Platform,0,Non-Linear,1,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,1,1,Bachelors,18,1,1,500,2,0,0,0,5,23,1,1,1,0,0,1,1,1,0,0,0,201814,1,1,0,3,1,0,10,5.5,13,9.8,1,6
1,2010,4,106,14,0,5/1/2010,9/17/2013,1000000,United States,North America,2,0,4,0,4,14,0,2,Medium,0,1,0,0,0,0,Service,0,Public,1,Both,0,Platform,0,Non-Linear,0,0,0,0,0,0,0,1,0,1,0,Online,B2B,0,2,1,1,Masters,21,0,0,500,0,0,0,0,5,25,1,1,1,0,0,0,1,0,1,0,0,591816,1,1,1,4,2,0,3.5,1,12,9.3,1,6
1,2011,3,39,7,0,1/1/2011,9/3/2013,2000000,United States,North America,7,0,2,9,2,15,0,4,Medium,0,0,1,1,0,0,Both,1,Public,1,Unstructured,1,Platform,0,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2B,0,2,1,1,PhD,25,1,1,469,0,0,0,0,1,21,1,1,1,0,1,0,0,1,0,0,1,2345574,1,1,0,3,1,0,5,2,11,7.3,1,0
1,2010,4,139,29,0,1/1/2010,11/8/2012,6700000,United States,North America,0,0,3,4,4,40,0,0,Medium,0,2,1,1,0,0,Both,1,Private,0,Both,0,Platform,0,Non-Linear,0,0,0,0,1,0,1,1,0,0,0,Online,B2B,1,2,1,1,Masters,21,1,1,500,1,0,0,0,5,4.5,1,1,1,0,0,0,0,1,0,0,0,1015027,1,1,0,3,1,0,10,6.7,20,6.4,1,2
1,2011,3,306,16,0,1/1/2011,2/26/2014,11000000,United States,North America,13,0,2,0,2,50,0,0,Medium,1,1,1,1,0,0,Product,1,Public,1,Both,0,Platform,0,Non-Linear,0,1,0,0,0,0,0,1,0,1,0,Online,B2B,1,2,1,2,Masters,21,1,1,500,2,0,0,0,13,48,0,1,0,0,0,0,1,0,0,0,0,256921,1,1,0,3,1,0,16.7,11,18,12,1,5
1,2013,1,53,3,0,5/16/2013,10/24/2013,3000000,United States,North America,0,0,3,4,3,3,0,0,Low,1,1,1,1,0,0,Product,0,Public,1,Structured,0,Platform,1,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2B,0,2,1,2,PhD,25,1,1,500,2,0,0,0,1,25.5,1,2,1,0,1,1,0,1,0,0,1,3639779,0,1,0,1,0,0,3,3,5,5,2,4
